ma_period_5min,ma_period_hourly,trailing_stop,pnl net,return,drawdown,total closed,won total,lost total,sharpe,sqn
5,10,0.05,-7383.833439045329,-0.0015571942289610689,8.936775264631242,63,8,55,-1.8158085343482588,-7.530787689605568
5,15,0.05,-6966.034332550044,-0.0014652411871055547,8.871448045740625,62,8,54,-1.7547922754293366,-6.302291031807194
5,20,0.05,-6879.004034432989,-0.0014402458397209039,8.77547214754782,61,8,53,-1.807261835167461,-6.273953367968461
5,25,0.05,-6268.522625689851,-0.0013071170525478571,8.684058806599936,58,9,49,-1.7381184078489875,-5.022980186581129
5,30,0.05,-7047.806544144447,-0.00146607937829829,8.889072819027753,58,8,50,-1.8161136756313916,-7.211310162408512
5,35,0.05,-7314.518524555672,-0.001535325965717416,8.953900341284358,57,7,50,-1.8067332192876568,-7.892971550670661
5,40,0.05,-7297.588896099238,-0.0015340809324320634,9.032048196245482,57,7,50,-1.797426618744689,-7.8108184926943
5,45,0.05,-6766.825704859897,-0.0014121652087404882,8.718539006333735,57,7,50,-1.7888442509293407,-7.358132751451673
5,50,0.05,-7203.5490766521025,-0.001516072894355637,9.003621888982515,57,7,50,-1.7857081119351321,-6.89906813208068
5,55,0.05,-6765.252154864723,-0.0014218557332825025,8.843182297605404,57,7,50,-1.7567294016735382,-6.051364717056002
15,10,0.05,-7561.463235582171,-0.0015792432820175032,9.086298602515996,61,7,54,-1.8658229444736651,-7.687340569819275
15,15,0.05,-6952.574299339264,-0.0014438993207232418,8.89578355282151,60,7,53,-1.8040931925896937,-6.337905802891236
15,20,0.05,-6643.854093407026,-0.0013540705766785705,8.846149515622479,60,7,53,-1.787959077147344,-5.526280666332539
15,25,0.05,-6607.568094496518,-0.0013507561554740124,8.794299358670106,57,9,48,-1.7757506679000923,-5.21431989745499
15,30,0.05,-6877.970292383688,-0.0013941708222298017,8.763433411954841,57,8,49,-1.8070249153463622,-5.708731002002972
15,35,0.05,-7313.70212171757,-0.0014977525148646975,8.961883473452177,56,7,49,-1.8286890898372328,-7.5480376192768315
15,40,0.05,-7494.468329454702,-0.001537430494246171,9.017414356806142,56,7,49,-1.8341803875800122,-7.941776559240608
15,45,0.05,-7102.99808493439,-0.001445624880471345,8.707719849062844,56,7,49,-1.8334579610307504,-7.538846256782513
15,50,0.05,-7301.382745074947,-0.0014987851571223617,8.943259478434918,56,7,49,-1.8247423274428258,-6.672805611739243
15,55,0.05,-6940.1341634939845,-0.0014207307285001936,8.854530081433554,56,7,49,-1.7888454997568675,-6.113320349831707
25,10,0.05,-7688.414816580286,-0.001690866191907644,9.226217160983236,59,6,53,-1.777341418857637,-7.6428961813615715
25,15,0.05,-7048.291728808483,-0.001543428986649365,9.127475291130239,58,6,52,-1.7009887602949352,-6.342074966785393
25,20,0.05,-6638.185367536982,-0.0014019780664671704,8.991564500002792,58,6,52,-1.7191021532430244,-5.368037207961693
25,25,0.05,-6590.70885489243,-0.001397466825526771,8.951236108866157,55,8,47,-1.7140488896100259,-5.157652725575773
25,30,0.05,-6907.772224303329,-0.001449249196980128,8.937576777240752,54,6,48,-1.7372755248441267,-6.0011377968214115
25,35,0.05,-7346.125695486817,-0.0015552893085711097,9.137726493640356,54,6,48,-1.7812748096848399,-7.499334980057184
25,40,0.05,-7401.9675986750035,-0.0015684484519141654,9.164460210668668,54,6,48,-1.7726737928925835,-7.38872709899088
25,45,0.05,-7111.033466354399,-0.0014960981316230245,8.897118400170498,54,6,48,-1.781142407959238,-7.54006326517477
25,50,0.05,-7327.938387321612,-0.0015537862433280156,9.09043268881488,54,6,48,-1.7837845416216678,-7.179728042605822
25,55,0.05,-7206.309066502368,-0.0015180521433508282,9.082475832572598,54,5,49,-1.7636424691415824,-6.36361405505808
35,10,0.05,-7141.358066927453,-0.001615541284558427,8.991308855038481,56,6,50,-1.7966506897448973,-7.1693541229245685
35,15,0.05,-6341.56735845129,-0.0014314847333483586,8.721214275816221,54,6,48,-1.7142624973373402,-5.820006033000569
35,20,0.05,-5791.549550991182,-0.00126382347823708,8.526581804763007,54,7,47,-1.7204582202429861,-4.599867318327971
35,25,0.05,-6078.657324901095,-0.0013168428268173636,8.570536668452128,52,8,44,-1.7455218043797025,-4.788563634733623
35,30,0.05,-6345.756480824076,-0.001357151709895801,8.66921505662831,52,7,45,-1.7776557308329966,-5.256521779780675
35,35,0.05,-6845.090557348123,-0.0014760991948435998,8.757858527070576,51,6,45,-1.8184906965140237,-7.039093535271643
35,40,0.05,-7016.017530447407,-0.001513463307523613,8.814276640352094,51,6,45,-1.8225173879782104,-7.449833921027394
35,45,0.05,-6958.004327815406,-0.0014649851398775102,8.507566011427965,51,5,46,-1.8622439991789677,-7.711659892951484
35,50,0.05,-7010.354596353218,-0.0014872964984009732,8.606380162337423,51,5,46,-1.8520345355610868,-6.680235524291684
35,55,0.05,-6717.6898667746,-0.0014254162441277305,8.598004298884817,51,5,46,-1.8101195776678285,-6.082364073875084
45,10,0.05,-6995.098869992549,-0.0015626713266712572,8.845056512813274,56,6,50,-1.8379014507762133,-6.958468733609115
45,15,0.05,-6371.222868983308,-0.0014163915262257445,8.668378848523783,54,6,48,-1.7612625981689947,-5.737296325813213
45,20,0.05,-5940.109493001693,-0.0012668151610914708,8.449923732581263,54,7,47,-1.7776050003316886,-4.731049572321537
45,25,0.05,-6193.111826386067,-0.0013140285474779678,8.482434385268549,52,8,44,-1.802750825653298,-4.8462413959131485
45,30,0.05,-6190.235729489018,-0.0012968440068015247,8.397407573026271,52,7,45,-1.8218135258672932,-5.248799790940915
45,35,0.05,-6860.385543712581,-0.0014494765143598606,8.616387298532874,51,6,45,-1.8576684124934673,-6.878024531486733
45,40,0.05,-7310.3790349828005,-0.0015464653498772013,8.762267963181587,51,6,45,-1.8913147570544493,-7.824298745827931
45,45,0.05,-7031.792913954091,-0.0014489024227628522,8.306497311364273,51,6,45,-1.9066927907705837,-7.458488668715368
45,50,0.05,-7054.256196833405,-0.0014642081691628275,8.372009092540749,51,6,45,-1.9125558763757022,-6.72720043379093
45,55,0.05,-6783.125732656691,-0.0014068235181215474,8.385205182903553,51,6,45,-1.851240564354202,-6.123250111796433
55,10,0.05,-7358.461020075151,-0.0016807088324658802,8.902420765115194,55,5,50,-1.8634327293144546,-7.968355538639772
55,15,0.05,-6556.161001691303,-0.0014714636011638105,8.635608845220023,53,5,48,-1.7404237977779395,-6.363898874150489
55,20,0.05,-6600.2731701934445,-0.001445310068434688,8.69821130215298,52,6,46,-1.84942119429221,-6.603680864275098
55,25,0.05,-6139.006325044782,-0.0013155912701665255,8.409365232497901,52,8,44,-1.8023310334065874,-4.855558755603576
55,30,0.05,-6204.507215335901,-0.001312192283520431,8.278428325496957,52,7,45,-1.8361004949534234,-5.30836941836553
55,35,0.05,-7001.417682321923,-0.0014927240042233371,8.564242823864783,51,6,45,-1.8775536906510975,-7.239504716905218
55,40,0.05,-7252.677776035169,-0.001547951188948049,8.734927088484163,51,6,45,-1.8832771936394466,-7.998040782058501
55,45,0.05,-6977.615531697318,-0.0014516719873037928,8.249966056806139,51,6,45,-1.9037586290572903,-7.512913880256603
55,50,0.05,-7284.5924906761265,-0.0015267687001217652,8.420200168495743,51,6,45,-1.9397076618162858,-8.02436294928119
55,55,0.05,-6687.724783755026,-0.001401432784724955,8.318114250876011,51,6,45,-1.8484378468242424,-6.074494326767059
